"resolution","score","stat","analysis","genotype_form","correlation","p_value","indices"
10,"D_slope","range","global","combined",0.912025316455696,0.001,31
10,"D_slope","range","global","combined",0.912025316455696,0.001,41
10,"D_slope","range","global","combined",0.912025316455696,0.001,50
10,"D_slope","variance","global","combined",0.924050632911392,0.001,1
10,"D_slope","variance","global","combined",0.924050632911392,0.001,11
10,"D_slope","variance","global","combined",0.924050632911392,0.001,21
10,"D_slope","variance","global","combined",0.924050632911392,0.001,31
10,"D_slope","variance","global","combined",0.924050632911392,0.001,41
10,"D_slope","variance","global","combined",0.924050632911392,0.001,50
10,"D_slope","mean_lower","global","combined",0.0462025316455696,0.569,1
10,"D_slope","mean_lower","global","combined",0.0462025316455696,0.569,11
10,"D_slope","mean_lower","global","combined",0.0462025316455696,0.569,21
10,"D_slope","mean_lower","global","combined",0.0462025316455696,0.569,31
10,"D_slope","mean_lower","global","combined",0.0462025316455696,0.569,41
10,"D_slope","mean_lower","global","combined",0.0462025316455696,0.569,50
10,"D_slope","mean_upper","global","combined",-0.0316455696202532,0.687,1
10,"D_slope","mean_upper","global","combined",-0.0316455696202532,0.687,11
10,"D_slope","mean_upper","global","combined",-0.0316455696202532,0.687,21
10,"D_slope","mean_upper","global","combined",-0.0316455696202532,0.687,31
10,"D_slope","mean_upper","global","combined",-0.0316455696202532,0.687,41
10,"D_slope","mean_upper","global","combined",-0.0316455696202532,0.687,50
10,"RC","min","global","combined",-0.460759493670886,0.001,1
10,"RC","min","global","combined",-0.460759493670886,0.001,11
10,"RC","min","global","combined",-0.460759493670886,0.001,21
10,"RC","min","global","combined",-0.460759493670886,0.001,31
10,"RC","min","global","combined",-0.460759493670886,0.001,41
10,"RC","min","global","combined",-0.460759493670886,0.001,50
10,"RC","max","global","combined",-0.180379746835443,0.018,1
10,"RC","max","global","combined",-0.180379746835443,0.018,11
10,"RC","max","global","combined",-0.180379746835443,0.018,21
10,"RC","max","global","combined",-0.180379746835443,0.018,31
10,"RC","max","global","combined",-0.180379746835443,0.018,41
10,"RC","max","global","combined",-0.180379746835443,0.018,50
10,"RC","mean","global","combined",-0.344303797468354,0.001,1
10,"RC","mean","global","combined",-0.344303797468354,0.001,11
10,"RC","mean","global","combined",-0.344303797468354,0.001,21
10,"RC","mean","global","combined",-0.344303797468354,0.001,31
10,"RC","mean","global","combined",-0.344303797468354,0.001,41
10,"RC","mean","global","combined",-0.344303797468354,0.001,50
10,"RC","median","global","combined",-0.327848101265823,0.001,1
10,"RC","median","global","combined",-0.327848101265823,0.001,11
10,"RC","median","global","combined",-0.327848101265823,0.001,21
10,"RC","median","global","combined",-0.327848101265823,0.001,31
10,"RC","median","global","combined",-0.327848101265823,0.001,41
10,"RC","median","global","combined",-0.327848101265823,0.001,50
10,"RC","slope","global","combined",-0.154430379746835,0.052,1
10,"RC","slope","global","combined",-0.154430379746835,0.052,11
10,"RC","slope","global","combined",-0.154430379746835,0.052,21
10,"RC","slope","global","combined",-0.154430379746835,0.052,31
10,"RC","slope","global","combined",-0.154430379746835,0.052,41
10,"RC","slope","global","combined",-0.154430379746835,0.052,50
10,"RC","range","global","combined",0.668987341772152,0.001,1
10,"RC","range","global","combined",0.668987341772152,0.001,11
10,"RC","range","global","combined",0.668987341772152,0.001,21
10,"RC","range","global","combined",0.668987341772152,0.001,31
10,"RC","range","global","combined",0.668987341772152,0.001,41
10,"RC","range","global","combined",0.668987341772152,0.001,50
10,"RC","variance","global","combined",0.664556962025316,0.001,1
10,"RC","variance","global","combined",0.664556962025316,0.001,11
10,"RC","variance","global","combined",0.664556962025316,0.001,21
10,"RC","variance","global","combined",0.664556962025316,0.001,31
10,"RC","variance","global","combined",0.664556962025316,0.001,41
10,"RC","variance","global","combined",0.664556962025316,0.001,50
10,"RC","mean_lower","global","combined",-0.275316455696203,0.001,1
10,"RC","mean_lower","global","combined",-0.275316455696203,0.001,11
10,"RC","mean_lower","global","combined",-0.275316455696203,0.001,21
10,"RC","mean_lower","global","combined",-0.275316455696203,0.001,31
