PS,Stat,r,p,star
ESPIID,median,-0.004852320675105486,0.9659266042295584,
PSI,median,0.12962962962962962,0.2517794635277568,
RPI,median,0.47627754336615097,7.984528702815828e-6,***
PQ,median,-0.03680262541022034,0.7458609499594199,
PR,median,-0.03680262541022034,0.7458609499594199,
NRW,median,-0.03680262541022034,0.7458609499594199,
ESP,median,0.527332395686826,5.016258544612263e-7,***
CEV,median,0.49552273792780127,2.9637191681486697e-6,***
PFI,median,0.47048757618377873,1.0634798139462248e-5,***
APC,median,0.014181903422409752,0.9006370203702561,
SI,median,0.24559306141584625,0.028104283647765564,*
RSI,median,-0.49552273792780127,2.9637191681486697e-6,***
EVS,median,-0.045335208626347864,0.6896618306542435,
CV_t,slope,0.0759493670886076,0.5031201326517832,
RN,slope,-1,-0,***
RNN,slope,0.036661978434130334,0.746799470199327,
D_slope,slope,-0.12142522269104548,0.2832965774471157,
RC,slope,0.06347866854195967,0.5758892654980087,
gPi,slope,0.0759493670886076,0.5031201326517832,
PPF,slope,-0.12894983591186124,0.2542958449179063,
PPi,slope,0.027684013127051103,0.8074143960991184,
PImd,slope,0.027684013127051103,0.8074143960991184,
PILSM,slope,0.027684013127051103,0.8074143960991184,
RTR,slope,-0.8220815752461322,9.073599906627196e-21,***
PIR,slope,-0.024120956399437413,0.8318107665746223,
RDPI,slope,0.0549929676511955,0.6280327546534711,
ESPI,slope,-0.05527426160337553,0.6262727478744816,
ESPIID,slope,-0.04552273792780122,0.6884440468704591,
PSI,slope,0.06310360993905297,0.5781510629403596,
RPI,slope,0.0549929676511955,0.6280327546534711,
PQ,slope,-0.05527426160337553,0.6262727478744816,
PR,slope,-0.05527426160337553,0.6262727478744816,
NRW,slope,-0.05527426160337553,0.6262727478744816,
ESP,slope,0.07088607594936709,0.5320810041757092,
CEV,slope,0.0759493670886076,0.5031201326517832,
PFI,slope,0.0603609939052977,0.5948136037460702,
APC,slope,-0.02625410220346929,0.8171843860963964,
SI,slope,0.01828410689170183,0.8721110389144393,
RSI,slope,-0.0759493670886076,0.5031201326517832,
EVS,slope,-0.04306141584622598,0.7044893965093091,
CV_t,range,-0.8183075480543834,1.9059424099972784e-20,***
RN,range,-0.05527426160337553,0.6262727478744816,
RNN,range,-0.7483591186122832,1.4766757017667999e-15,***
D_slope,range,-0.9939521800281295,1.3436904933570166e-76,***
RC,range,-0.8014299109235818,4.318950075953896e-19,***
gPi,range,-0.8183075480543834,1.9059424099972784e-20,***
PPF,range,-0.8488513830285982,2.6886174241524963e-23,***
PPi,range,-0.8633380215658696,7.048857782442763e-25,***
PImd,range,-0.8633380215658696,7.048857782442763e-25,***
PILSM,range,-0.8633380215658696,7.048857782442763e-25,***
RTR,range,-0.00593061415846226,0.9583608697434711,
PIR,range,-0.8464838255977496,4.701603285174275e-23,***
RDPI,range,-0.8323956868260666,1.0881027856296888e-21,***
ESPI,range,-1,-0,***
ESPIID,range,-0.9906938584153775,2.5214485204495763e-69,***
PSI,range,0.1695264885138303,0.13275364587948305,
RPI,range,-0.8323956868260666,1.0881027856296888e-21,***
PQ,range,-1,-0,***
PR,range,-1,-0,***
NRW,range,-1,-0,***
ESP,range,-0.7760900140646976,2.773783328112509e-17,***
CEV,range,-0.8183075480543834,1.9059424099972784e-20,***
PFI,range,-0.840295358649789,1.9401476446457774e-22,***
APC,range,-0.9298640412564463,1.295585851306959e-35,***
SI,range,-0.9424753867791843,7.239532620441304e-39,***
RSI,range,0.8183075480543834,1.9059424099972784e-20,***
EVS,range,-0.9902250351617441,1.6995637059702822e-68,***
CV_t,variance,-0.8156821378340365,3.1620762459364767e-20,***
RN,variance,-0.04306141584622598,0.7044893965093091,
RNN,variance,-0.7651664322550399,1.4166688345492994e-16,***
D_slope,variance,-0.994116268166901,4.610305977145015e-77,***
RC,variance,-0.8080403187998125,1.3198797956478097e-19,***
gPi,variance,-0.8156821378340365,3.1620762459364767e-20,***
PPF,variance,-0.8408345053914674,1.7189026097419894e-22,***
PPi,variance,-0.8478199718706048,3.4337876437574367e-23,***
PImd,variance,-0.8478199718706048,3.4337876437574367e-23,***
PILSM,variance,-0.8478199718706048,3.4337876437574367e-23,***
RTR,variance,-0.0016877637130801688,0.9881452770998227,
PIR,variance,-0.8333098921706517,8.954039350265926e-22,***
RDPI,variance,-0.8284106891701829,2.510742334433487e-21,***
ESPI,variance,-0.9902250351617441,1.6995637059702822e-68,***
ESPIID,variance,-0.9792780121894046,7.378248776376356e-56,***
PSI,variance,0.2631504922644163,0.018355139232575014,*
RPI,variance,-0.8284106891701829,2.510742334433487e-21,***
PQ,variance,-0.9902250351617441,1.6995637059702822e-68,***
PR,variance,-0.9902250351617441,1.6995637059702822e-68,***
NRW,variance,-0.9902250351617441,1.6995637059702822e-68,***
ESP,variance,-0.7853727144866385,6.445447360858199e-18,***
