PS,Stat,r,p,star
PImd,max,-0.37083919362400375,7.084634550959143e-4,***
PILSM,max,-0.37083919362400375,7.084634550959143e-4,***
RTR,max,0.041045475855602434,0.717728438622382,
PIR,max,-0.3442569151429911,0.0017669973243964502,**
RDPI,max,-0.36572902015939995,8.497169129880427e-4,***
ESPI,max,0.25396155649320207,0.023016680444422573,*
ESPIID,max,0.20353961556493202,0.07016120649520563,
PSI,max,-0.15447726207219878,0.17125912332813065,
RPI,max,-0.36572902015939995,8.497169129880427e-4,***
PQ,max,0.25396155649320207,0.023016680444422573,*
PR,max,0.25396155649320207,0.023016680444422573,*
NRW,max,0.25396155649320207,0.023016680444422573,*
ESP,max,-0.3592123769338959,0.0010668582734075847,**
CEV,max,-0.3616971401781528,9.787365859901024e-4,***
PFI,max,-0.3812470698546648,4.847010055597089e-4,***
APC,max,0.12182372245663384,0.2817077516853797,
SI,max,-0.0816924519456165,0.4712879546706617,
RSI,max,0.3616971401781528,9.787365859901024e-4,***
...1,mean,-0.15684481950304735,0.1647112536030389,
CV_t,mean,-0.5386310360993906,2.552267153695612e-7,***
RN,mean,0.04517112048757618,0.6907280385560552,
RNN,mean,-0.10210970464135022,0.36743851663632776,
D_slope,mean,0.05506329113924051,0.6275925579495234,
RC,mean,-0.5340600093764651,3.36461320191095e-7,***
gPi,mean,-0.5386310360993906,2.552267153695612e-7,***
PPF,mean,-0.5212611345522737,7.140370502551429e-7,***
PPi,mean,-0.5327707454289733,3.6346712039767884e-7,***
PImd,mean,-0.5327707454289733,3.6346712039767884e-7,***
PILSM,mean,-0.5327707454289733,3.6346712039767884e-7,***
RTR,mean,0.05825128926394749,0.6077753915496774,
PIR,mean,-0.5019456165025785,2.100302053010865e-6,***
RDPI,mean,-0.5306375996249414,4.127026533103643e-7,***
ESPI,mean,0.06840131270511017,0.5465899460399232,
ESPIID,mean,0.017909048288795124,0.87471292886224,
PSI,mean,-0.12327707454289732,0.27596352239042243,
RPI,mean,-0.5306375996249414,4.127026533103643e-7,***
PQ,mean,0.06840131270511017,0.5465899460399232,
PR,mean,0.06840131270511017,0.5465899460399232,
NRW,mean,0.06840131270511017,0.5465899460399232,
ESP,mean,-0.5329582747304267,3.5941540881264536e-7,***
CEV,mean,-0.5386310360993906,2.552267153695612e-7,***
PFI,mean,-0.5525082044069386,1.0752377079797541e-7,***
APC,mean,-0.043624003750586025,0.700810195183748,
SI,mean,-0.27419127988748243,0.013846930850563892,*
RSI,mean,0.5386310360993906,2.552267153695612e-7,***
...1,median,-0.1658931082981716,0.14138534790994609,
CV_t,median,-0.5383263009845288,2.600051647213526e-7,***
RN,median,0.02271448663853727,0.8414862028647702,
RNN,median,-0.1069620253164557,0.3449891725809596,
D_slope,median,0.06434599156118143,0.5706746111886263,
RC,median,-0.536052508204407,2.9842910720989307e-7,***
gPi,median,-0.5383263009845288,2.600051647213526e-7,***
